"user_id","age","gender","ope","con","ext","agr","neu"
"15740626","39","1","0.384691","0.268812","0.56179","0.441686","-0.699388"
"15774274","25","1","0.294284","-0.719565","-0.614067","-0.269856","0.586411"
"15868932","34","1","-0.414881","-0.0114675","-0.49335","0.285901","-0.0691066"
"15912799","23","1","0.560367","-0.285117","0.103097","0.25716","-0.324735"
"15925282","26","0","0.0650914","0.708981","0.208429","0.281736","-0.648946"
"15929888","46","1","0.336065","0.506097","0.286243","0.397795","-0.823415"
"15966552","22","1","-0.0134558","-0.120125","0.453318","-0.0740912","0.370677"
"16085494","49","0","0.496007","-0.215389","0.136035","-0.318545","0.0181536"
"16194971","31","0","-0.686443","0.531137","0.732283","0.857396","-1.25582"
"16205123","35","0","-0.0189212","0.761024","-0.0783958","0.0358179","-0.542322"
"16247779","28","1","-0.284109","0.605106","0.145867","1.25728","-0.302978"
"16267925","31","1","0.0131505","-0.035301","0.255389","0.011787","-0.389961"
"16279836","24","1","-0.361616","0.0853172","0.695625","0.266314","0.090725"
"16329047","35","0","0.482311","0.411492","0.223463","0.476099","-0.604729"
"16340534","33","1","0.386833","-0.143089","-0.0655905","-0.0293946","0.00516394"
"16364718","32","1","0.80342","-0.066236","-0.258963","-0.913279","0.260151"
"16404395","28","1","0.595569","-0.546706","-0.330346","-0.770537","0.336292"
"16438708","34","0","1.0185","-0.115821","-0.48891","0.174368","-0.178105"
"16456627","59","0","0.0319011","0.546176","0.286603","-0.168199","-0.529384"
"16531460","38","1","0.50555","0.232502","-0.70697","0.0537018","-0.0499697"
"16538871","37","1","-0.064328","0.628194","0.22975","0.617901","-0.481437"
"16540031","23","1","-0.0126793","0.0514152","0.767782","-0.0448341","-0.319909"
"16547438","67","1","0.179387","0.0744395","-0.430394","-1.03619","-0.163063"
"16548053","46","0","0.0922551","0.0716163","-0.627295","-0.168161","-0.126777"
"16619331","24","1","0.182924","-0.492889","-0.841934","-0.635335","1.17505"
"16697755","34","1","0.535147","0.354214","-0.625738","0.267755","0.166346"
"16796041","22","1","0.301954","-0.186702","0.0810728","0.490907","0.326401"
"16816596","32","1","0.208493","-0.20359","0.0640346","-0.0299683","0.68099"
"16876834","28","1","0.203074","-0.469268","-0.173692","-0.145264","0.737698"
"16895618","28","0","1.18062","-0.16163","-0.574017","-0.48081","0.0345369"
"16897580","25","1","0.344777","-0.550103","-0.167166","-0.52751","1.17955"
"16904444","25","1","0","0","0","0","0"
"16947603","36","0","0.414121","0.355394","0.0330885","0.636705","-0.77486"
"17004664","67","1","0.209048","0.123587","-0.0240605","-0.292001","-0.121873"
"17042416","27","0","0.196803","-0.0431816","0.548004","0.129893","-0.521552"
"17054905","43","1","-0.281445","0.338938","0.50408","0.58206","-0.123323"
"17079667","59","0","0.140157","0.73375","0.373316","1.14798","-0.877114"
"17240648","30","0","0.67055","-0.18672","-0.585853","-0.390264","-0.0895053"
"17304440","43","1","0.502376","0.152878","-0.288933","-0.0605899","-0.29575"
"17312360","41","0","-0.164807","0.604354","-0.24592","0.217939","-0.926217"
"17316061","35","1","0.684978","-0.00853507","-0.0891879","-0.370865","0.233367"
"17412436","27","1","0.497301","0.330574","0.20137","0.670291","-0.320088"
"17435961","32","0","0.196105","0.0422792","-0.08268","0.0605144","-0.577404"
"17447251","32","1","-0.13236","0.347458","-0.0568721","0.456292","-0.68723"
"17485328","35","1","0.515425","0.0290877","1.02012","0.68028","0.0243135"
"17563678","30","1","0.357324","-0.766841","-0.573914","0.235187","-0.0483238"
"17564169","34","1","0.631401","-0.140356","0.434295","-0.079859","-0.419997"
"17639688","33","1","0.315862","0.12848","-0.137034","-0.397428","-0.453514"
"17644976","35","0","-0.366685","0.159494","-0.16339","0.379598","-0.623053"
"17724851","34","1","0.394965","-0.48055","0.0585752","0.264268","0.508845"
"17752639","27","0","0.0450877","0.324186","-0.0701158","0.235764","-0.471671"
"17821435","32","1","-0.40202","0.0798291","-0.600904","0.165119","0.148474"
